Customer_ID,Name,Age,Gender,City,Annual_Income,Satisfaction_Score,Purchased
101,Chandu,20.0,Female,Vijayawada,45000.0,5.0,Yes
102,Rahul,24.0,Male,Hyderabad,52000.0,4.0,Yes
103,Anu,22.0,Female,Guntur,38000.0,3.0,No
104,Priya,,Female,Vijayawada,41000.0,5.0,Yes
105,Kiran,29.0,Male,Hyderabad,150000.0,2.0,No
106,Sneha,25.0,Female,Guntur,47000.0,,Yes
107,Arjun,31.0,Male,Chennai,56000.0,4.0,Yes
108,Meena,27.0,Female,Hyderabad,49000.0,3.0,No
109,Vamsi,23.0,Male,Vijayawada,,5.0,Yes
110,Divya,26.0,Female,Guntur,43000.0,4.0,Yes
111,Ravi,35.0,Male,Chennai,61000.0,2.0,No
112,Pooja,21.0,Female,Vijayawada,36000.0,5.0,Yes
113,Naveen,28.0,Male,Hyderabad,58000.0,3.0,No
114,Siri,24.0,Female,Guntur,45500.0,4.0,Yes
115,Ajay,30.0,Male,Chennai,53000.0,3.0,No
105,Kiran,29.0,Male,Hyderabad,150000.0,2.0,No
116,Lakshmi,26.0,Female,Vijayawada,42000.0,5.0,Yes
117,Manoj,33.0,Male,Hyderabad,67000.0,2.0,No
118,Keerthi,22.0,Female,Guntur,39000.0,4.0,Yes
119,Ramesh,40.0,Male,Chennai,72000.0,1.0,No
